廣韻韻部順序&廣韻韻部原貌(調整前),小韻序,上字,下字,中古拼音(polyhedron 版),廣韻字頭(覈校後),小韻內字序
下平01先,594,布,玄,pen,𨇱,10
下平01先,594,布,玄,pen,𠑟,11
下平01先,594,布,玄,pen,牑,12
下平01先,594,布,玄,pen,䟍,13
下平01先,594,布,玄,pen,蹁,14
下平01先,595,胡,涓,ghuen,玄,1
下平01先,595,胡,涓,ghuen,縣,2
下平01先,595,胡,涓,ghuen,懸,3
下平01先,595,胡,涓,ghuen,眩,4
下平01先,595,胡,涓,ghuen,䮄,5
下平01先,595,胡,涓,ghuen,玹,6
下平01先,595,胡,涓,ghuen,玆,7
下平01先,595,胡,涓,ghuen,𧟨,8
下平01先,595,胡,涓,ghuen,𥌭,9
下平01先,595,胡,涓,ghuen,伭,10
下平01先,595,胡,涓,ghuen,盷,11
下平01先,595,胡,涓,ghuen,胘,12
下平01先,595,胡,涓,ghuen,訇,13
下平01先,596,呼,煙,hen,祆,1
下平01先,596,呼,煙,hen,訮,2
下平01先,597,崇,玄,zruen,𤜼,1
下平02仙,598,相,然,sien,仙,1
下平02仙,598,相,然,sien,僊,2
下平02仙,598,相,然,sien,𠑗,3
下平02仙,598,相,然,sien,㲔,4
下平02仙,598,相,然,sien,䉳,5
下平02仙,598,相,然,sien,苮,6
下平02仙,598,相,然,sien,躚,7
下平02仙,598,相,然,sien,秈,8
下平02仙,598,相,然,sien,鮮,9
下平02仙,598,相,然,sien,硟,10
下平02仙,598,相,然,sien,鱻,11
下平02仙,598,相,然,sien,廯,12
下平02仙,599,昨,仙,zien,錢,1
下平02仙,599,昨,仙,zien,𧔢,2
下平02仙,600,七,然,chien,遷,1
下平02仙,600,七,然,chien,𨙙,2
下平02仙,600,七,然,chien,𠨧,3
下平02仙,600,七,然,chien,𨝍,4
下平02仙,600,七,然,chien,櫏,5
下平02仙,600,七,然,chien,䉦,6
下平02仙,600,七,然,chien,韆,7
下平02仙,600,七,然,chien,㿊,8
下平02仙,601,子,仙,cien,煎,1
下平02仙,601,子,仙,cien,湔,2
下平02仙,601,子,仙,cien,葏,3
下平02仙,601,子,仙,cien,鬋,4
下平02仙,602,如,延,njen,然,1
下平02仙,602,如,延,njen,燃,2
下平02仙,602,如,延,njen,𤡮,3
下平02仙,602,如,延,njen,㜣,4
下平02仙,602,如,延,njen,肰,5
下平02仙,602,如,延,njen,繎,6
下平02仙,602,如,延,njen,𥳚,7
下平02仙,602,如,延,njen,䕼,8
下平02仙,602,如,延,njen,𤓉,9
下平02仙,603,以,然,jen,延,1
下平02仙,603,以,然,jen,埏,2
下平02仙,603,以,然,jen,筵,3
下平02仙,603,以,然,jen,狿,4
下平02仙,603,以,然,jen,郔,5
下平02仙,603,以,然,jen,綖,6
下平02仙,603,以,然,jen,蜒,7
下平02仙,603,以,然,jen,䘰,8
下平02仙,603,以,然,jen,鋋,9
下平02仙,603,以,然,jen,䀽,10
下平02仙,603,以,然,jen,𢌨,11
下平02仙,603,以,然,jen,䢭,12
下平02仙,603,以,然,jen,莚,13
下平02仙,604,諸,延,cjen,𩜾,1
下平02仙,604,諸,延,cjen,饘,2
下平02仙,604,諸,延,cjen,旃,3
下平02仙,604,諸,延,cjen,旜,4
下平02仙,604,諸,延,cjen,栴,5
下平02仙,604,諸,延,cjen,氈,6
下平02仙,604,諸,延,cjen,鸇,7
下平02仙,604,諸,延,cjen,𩔣,8
下平02仙,605,居,延,kjen,甄,1
下平02仙,605,居,延,kjen,薽,2
下平02仙,605,居,延,kjen,籈,3
下平02仙,606,張,連,trien,邅,1
下平02仙,606,張,連,trien,𧾍,2
下平02仙,606,張,連,trien,驙,3
下平02仙,606,張,連,trien,鱣,4
下平02仙,606,張,連,trien,𩼼,5
下平02仙,607,士,連,zrien,潺,1
下平02仙,607,士,連,zrien,孱,2
下平02仙,607,士,連,zrien,𨬖,3
下平02仙,607,士,連,zrien,䡲,4
下平02仙,607,士,連,zrien,𡎻,5
下平02仙,608,式,連,sjen,羶,1
下平02仙,608,式,連,sjen,埏,2
下平02仙,608,式,連,sjen,挻,3
下平02仙,608,式,連,sjen,扇,4
下平02仙,608,式,連,sjen,煽,5
下平02仙,608,式,連,sjen,鯅,6
下平02仙,608,式,連,sjen,脠,7
下平02仙,608,式,連,sjen,䘰,8
下平02仙,609,丑,延,thrien,脠,1
下平02仙,609,丑,延,thrien,梴,2
下平02仙,609,丑,延,thrien,鏈,3
下平02仙,609,丑,延,thrien,㢟,4
下平02仙,610,市,連,zjen,鋋,1
下平02仙,610,市,連,zjen,單,2
下平02仙,610,市,連,zjen,蟬,3
下平02仙,610,市,連,zjen,撣,4
下平02仙,610,市,連,zjen,儃,5
下平02仙,610,市,連,zjen,僤,6
下平02仙,610,市,連,zjen,禪,7
下平02仙,610,市,連,zjen,澶,8
下平02仙,610,市,連,zjen,嬋,9
下平02仙,611,直,連,drien,纏,1
下平02仙,611,直,連,drien,緾,2
下平02仙,611,直,連,drien,躔,3
下平02仙,611,直,連,drien,瀍,4
下平02仙,611,直,連,drien,鄽,5
下平02仙,611,直,連,drien,𨷭,6
下平02仙,611,直,連,drien,𧾍,7
下平02仙,611,直,連,drien,𧔊,8
下平02仙,611,直,連,drien,廛,9
下平02仙,611,直,連,drien,㙻,10
下平02仙,612,許,延,hien,嘕,1
下平02仙,612,許,延,hien,仚,2
下平02仙,612,許,延,hien,嫣,3
下平02仙,612,許,延,hien,𦒜,4
下平02仙,613,力,延,lien,連,1
下平02仙,613,力,延,lien,聮,2
下平02仙,613,力,延,lien,漣,3
下平02仙,613,力,延,lien,翴,4
下平02仙,613,力,延,lien,鰱,5
下平02仙,613,力,延,lien,𤣆,6
下平02仙,613,力,延,lien,令,7
下平02仙,613,力,延,lien,鏈,8
下平02仙,613,力,延,lien,䃛,9
下平02仙,613,力,延,lien,㦁,10
下平02仙,613,力,延,lien,槤,11
下平02仙,613,力,延,lien,𪚀,12
下平02仙,613,力,延,lien,㶌,13
下平02仙,614,芳,連,phjen,篇,1
下平02仙,614,芳,連,phjen,偏,2
下平02仙,614,芳,連,phjen,翩,3
下平02仙,614,芳,連,phjen,媥,4
下平02仙,614,芳,連,phjen,㾫,5
下平02仙,614,芳,連,phjen,扁,6
下平02仙,614,芳,連,phjen,萹,7
下平02仙,615,房,連,bjen,便,1
下平02仙,615,房,連,bjen,緶,2
下平02仙,615,房,連,bjen,楩,3
下平02仙,615,房,連,bjen,平,4
下平02仙,615,房,連,bjen,諞,5
下平02仙,615,房,連,bjen,㛹,6
下平02仙,615,房,連,bjen,箯,7
下平02仙,615,房,連,bjen,𧍲,8
下平02仙,615,房,連,bjen,楄,9
下平02仙,616,武,延,mjen,緜,1
下平02仙,616,武,延,mjen,綿,2
下平02仙,616,武,延,mjen,棉,3
下平02仙,616,武,延,mjen,謾,4
下平02仙,616,武,延,mjen,矊,5
下平02仙,616,武,延,mjen,蝒,6
下平02仙,616,武,延,mjen,𧉄,7
下平02仙,616,武,延,mjen,矏,8
下平02仙,616,武,延,mjen,𢣔,9
下平02仙,616,武,延,mjen,芇,10
下平02仙,616,武,延,mjen,宀,11
下平02仙,616,武,延,mjen,䫵,12
下平02仙,616,武,延,mjen,櫋,13
下平02仙,616,武,延,mjen,𣏜,14
下平02仙,616,武,延,mjen,臱,15
下平02仙,616,武,延,mjen,㮌,16
下平02仙,616,武,延,mjen,𣡠,17
下平02仙,617,疾,緣,zyen,全,1
下平02仙,617,疾,緣,zyen,㒰,2
下平02仙,617,疾,緣,zyen,泉,3
下平02仙,617,疾,緣,zyen,𧍭,4
下平02仙,617,疾,緣,zyen,牷,5
下平02仙,617,疾,緣,zyen,䀬,6
下平02仙,617,疾,緣,zyen,葲,7
下平02仙,618,須,緣,syen,宣,1
下平02仙,618,須,緣,syen,揎,2
下平02仙,618,須,緣,syen,㩊,3
下平02仙,618,須,緣,syen,䳦,4
下平02仙,618,須,緣,syen,愃,5
下平02仙,618,須,緣,syen,𡈣,6
下平02仙,618,須,緣,syen,𩕖,7
下平02仙,618,須,緣,syen,瑄,8
下平02仙,618,須,緣,syen,𩤡,9
下平02仙,619,子,泉,cyen,鐫,1
下平02仙,619,子,泉,cyen,鋑,2
下平02仙,619,子,泉,cyen,脧,3
下平02仙,619,子,泉,cyen,剶,4
下平02仙,620,許,緣,hjyen,翾,1
下平02仙,620,許,緣,hjyen,儇,2
下平02仙,620,許,緣,hjyen,弲,3
下平02仙,620,許,緣,hjyen,蠉,4
下平02仙,620,許,緣,hjyen,𧾎,5
下平02仙,620,許,緣,hjyen,嬛,6
下平02仙,620,許,緣,hjyen,譞,7
下平02仙,620,許,緣,hjyen,頨,8
下平02仙,620,許,緣,hjyen,𥌭,9
下平02仙,621,而,緣,njyen,堧,1
下平02仙,621,而,緣,njyen,䙇,2
下平02仙,621,而,緣,njyen,𤲬,3
下平02仙,621,而,緣,njyen,瑌,4
下平02仙,621,而,緣,njyen,撋,5
下平02仙,621,而,緣,njyen,繎,6
下平02仙,622,昌,緣,chjyen,穿,1
下平02仙,622,昌,緣,chjyen,川,2
下平02仙,622,昌,緣,chjyen,灥,3
下平02仙,623,與,專,jyen,沿,1
下平02仙,623,與,專,jyen,㳂,2
下平02仙,623,與,專,jyen,鉛,3
下平02仙,623,與,專,jyen,鈆,4
下平02仙,623,與,專,jyen,櫞,5
下平02仙,623,與,專,jyen,捐,6
下平02仙,623,與,專,jyen,鳶,7
下平02仙,623,與,專,jyen,蝝,8
下平02仙,623,與,專,jyen,緣,9
下平02仙,623,與,專,jyen,䱲,10
下平02仙,623,與,專,jyen,𦿂,11
下平02仙,623,與,專,jyen,𦛔,12
下平02仙,624,似,宣,zsyen,旋,1
下平02仙,624,似,宣,zsyen,檈,2
下平02仙,624,似,宣,zsyen,璿,3
下平02仙,624,似,宣,zsyen,𤩅,4
下平02仙,624,似,宣,zsyen,𤫀,5
下平02仙,624,似,宣,zsyen,䗠,6
下平02仙,624,似,宣,zsyen,㳬,7
下平02仙,624,似,宣,zsyen,琁,8
下平02仙,624,似,宣,zsyen,璇,9
下平02仙,624,似,宣,zsyen,𣟳,10
下平02仙,624,似,宣,zsyen,蜁,11
下平02仙,624,似,宣,zsyen,㔯,12
下平02仙,624,似,宣,zsyen,還,13
下平02仙,624,似,宣,zsyen,㘣,14
下平02仙,624,似,宣,zsyen,䁢,15
下平02仙,624,似,宣,zsyen,嫙,16
下平02仙,624,似,宣,zsyen,鏇,17
下平02仙,625,於,緣,qjyen,娟,1
下平02仙,625,於,緣,qjyen,嬛,2
下平02仙,625,於,緣,qjyen,悁,3
下平02仙,625,於,緣,qjyen,蜎,4
下平02仙,625,於,緣,qjyen,𡷡,5
下平02仙,625,於,緣,qjyen,潫,6
下平02仙,625,於,緣,qjyen,𡣬,7
下平02仙,626,食,川,zsjyen,船,1
下平02仙,626,食,川,zsjyen,舩,2
下平02仙,627,卑,連,pjen,鞭,1
下平02仙,627,卑,連,pjen,鯾,2
下平02仙,627,卑,連,pjen,鯿,3
下平02仙,627,卑,連,pjen,編,4
下平02仙,627,卑,連,pjen,箯,5
下平02仙,627,卑,連,pjen,揙,6
下平02仙,628,夕,連,zsien,㳄,1
下平02仙,628,夕,連,zsien,涎,2
下平02仙,629,此,緣,chyen,詮,1
下平02仙,629,此,緣,chyen,銓,2
下平02仙,629,此,緣,chyen,硂,3
下平02仙,629,此,緣,chyen,痊,4
下平02仙,629,此,緣,chyen,佺,5
下平02仙,629,此,緣,chyen,悛,6
下平02仙,629,此,緣,chyen,駩,7
下平02仙,629,此,緣,chyen,筌,8
下平02仙,629,此,緣,chyen,絟,9
下平02仙,629,此,緣,chyen,譔,10
下平02仙,629,此,緣,chyen,謜,11
下平02仙,629,此,緣,chyen,縓,12
下平02仙,629,此,緣,chyen,恮,13
下平02仙,629,此,緣,chyen,荃,14
下平02仙,629,此,緣,chyen,𠛮,15
下平02仙,629,此,緣,chyen,峑,16
下平02仙,629,此,緣,chyen,𠥙,17
下平02仙,629,此,緣,chyen,鐉,18
下平02仙,629,此,緣,chyen,拴,19
下平02仙,630,職,緣,cjyen,專,1
下平02仙,630,職,緣,cjyen,甎,2
下平02仙,630,職,緣,cjyen,顓,3
下平02仙,630,職,緣,cjyen,篿,4
下平02仙,630,職,緣,cjyen,嫥,5
下平02仙,630,職,緣,cjyen,諯,6
下平02仙,630,職,緣,cjyen,湍,7
下平02仙,630,職,緣,cjyen,膞,8
下平02仙,630,職,緣,cjyen,鱄,9
下平02仙,630,職,緣,cjyen,鷒,10
下平02仙,630,職,緣,cjyen,𩠹,11
下平02仙,630,職,緣,cjyen,鄟,12
下平02仙,631,市,緣,zjyen,遄,1
下平02仙,631,市,緣,zjyen,篅,2
下平02仙,631,市,緣,zjyen,圌,3
下平02仙,631,市,緣,zjyen,諯,4
下平02仙,631,市,緣,zjyen,輲,5
下平02仙,631,市,緣,zjyen,輇,6
下平02仙,631,市,緣,zjyen,椯,7
下平02仙,631,市,緣,zjyen,歂,8
下平02仙,632,王,權,yen,員,1
下平02仙,632,王,權,yen,圜,2
下平02仙,632,王,權,yen,圓,3
下平02仙,632,王,權,yen,湲,4
下平02仙,633,莊,緣,cryen,恮,1
下平02仙,633,莊,緣,cryen,跧,2
下平02仙,633,莊,緣,cryen,䀬,3
下平02仙,633,莊,緣,cryen,蟤,4
下平02仙,634,山,員,sryen,栓,1
下平02仙,634,山,員,sryen,𨏉,2
下平02仙,635,丑,緣,thryen,猭,1
下平02仙,635,丑,緣,thryen,剶,2
下平02仙,636,渠,焉,gien,乾,1
下平02仙,636,渠,焉,gien,虔,2
下平02仙,636,渠,焉,gien,犍,3
下平02仙,636,渠,焉,gien,鰬,4
下平02仙,636,渠,焉,gien,𨜻,5
下平02仙,636,渠,焉,gien,騝,6
下平02仙,636,渠,焉,gien,榩,7
下平02仙,636,渠,焉,gien,鍵,8
下平02仙,636,渠,焉,gien,揵,9
下平02仙,637,去,乾,khien,愆,1
下平02仙,637,去,乾,khien,䇂,2
下平02仙,637,去,乾,khien,諐,3
下平02仙,637,去,乾,khien,𠍴,4
下平02仙,637,去,乾,khien,褰,5
下平02仙,637,去,乾,khien,騫,6
下平02仙,637,去,乾,khien,䙭,7
下平02仙,637,去,乾,khien,𧽐,8
下平02仙,637,去,乾,khien,攐,9
下平02仙,637,去,乾,khien,㗔,10
下平02仙,638,巨,員,gyen,權,1
下平02仙,638,巨,員,gyen,拳,2
下平02仙,638,巨,員,gyen,狋,3
下平02仙,638,巨,員,gyen,觠,4
下平02仙,638,巨,員,gyen,顴,5
下平02仙,638,巨,員,gyen,踡,6
下平02仙,638,巨,員,gyen,婘,7
下平02仙,638,巨,員,gyen,孉,8
下平02仙,638,巨,員,gyen,䠰,9
下平02仙,638,巨,員,gyen,𤷄,10
下平02仙,638,巨,員,gyen,犈,11
下平02仙,638,巨,員,gyen,蠸,12
下平02仙,638,巨,員,gyen,齤,13
下平02仙,638,巨,員,gyen,卷,14
下平02仙,638,巨,員,gyen,𪈻,15
下平02仙,638,巨,員,gyen,𥆗,16
下平02仙,638,巨,員,gyen,𥁠,17
下平02仙,638,巨,員,gyen,𢑆,18
下平02仙,638,巨,員,gyen,鬈,19
下平02仙,638,巨,員,gyen,䟒,20
下平02仙,638,巨,員,gyen,䑏,21
下平02仙,638,巨,員,gyen,蜷,22
下平02仙,638,巨,員,gyen,捲,23
下平02仙,639,直,攣,dryen,椽,1
下平02仙,639,直,攣,dryen,傳,2
下平02仙,640,呂,員,lyen,攣,1
下平02仙,640,呂,員,lyen,𤼙,2
下平02仙,640,呂,員,lyen,䜌,3
下平02仙,641,丘,圓,khyen,弮,1
下平02仙,641,丘,圓,khyen,㒽,2
下平02仙,641,丘,圓,khyen,棬,3
下平02仙,641,丘,圓,khyen,鬈,4
下平02仙,641,丘,圓,khyen,𨟠,5
下平02仙,642,於,乾,qien,焉,1
下平02仙,642,於,乾,qien,閼,2
下平02仙,642,於,乾,qien,蔫,3
下平02仙,642,於,乾,qien,嫣,4
下平02仙,642,於,乾,qien,鄢,5
下平02仙,643,有,乾,ien,漹,1
下平02仙,643,有,乾,ien,䗡,2
下平02仙,643,有,乾,ien,焉,3
下平02仙,644,於,權,qyen,𡣬,1
下平02仙,644,於,權,qyen,潫,2
下平02仙,645,尺,延,chjen,燀,1
下平02仙,646,丁,全,tryen,𡰝,1
下平02仙,647,居,員,kyen,勬,1
下平03蕭,648,蘇,彫,seu,蕭,1
下平03蕭,648,蘇,彫,seu,簫,2
下平03蕭,648,蘇,彫,seu,彇,3
下平03蕭,648,蘇,彫,seu,蟰,4
下平03蕭,648,蘇,彫,seu,橚,5
下平03蕭,648,蘇,彫,seu,潚,6
下平03蕭,648,蘇,彫,seu,𩙚,7
下平03蕭,648,蘇,彫,seu,踃,8
下平03蕭,648,蘇,彫,seu,㩋,9
下平03蕭,648,蘇,彫,seu,箾,10
下平03蕭,648,蘇,彫,seu,𦐺,11
下平03蕭,648,蘇,彫,seu,㲖,12
下平03蕭,648,蘇,彫,seu,艘,13
下平03蕭,648,蘇,彫,seu,瞍,14
下平03蕭,648,蘇,彫,seu,翛,15
下平03蕭,648,蘇,彫,seu,撨,16
下平03蕭,649,吐,彫,theu,祧,1
下平03蕭,649,吐,彫,theu,佻,2
下平03蕭,649,吐,彫,theu,挑,3
下平03蕭,649,吐,彫,theu,朓,4
下平03蕭,649,吐,彫,theu,恌,5
下平03蕭,649,吐,彫,theu,𣂁,6
下平03蕭,649,吐,彫,theu,庣,7
下平03蕭,649,吐,彫,theu,銚,8
下平03蕭,649,吐,彫,theu,趒,9
下平03蕭,649,吐,彫,theu,聎,10
下平03蕭,649,吐,彫,theu,蓧,11
下平03蕭,650,都,聊,teu,貂,1
下平03蕭,650,都,聊,teu,䯾,2
下平03蕭,650,都,聊,teu,𠚥,3
下平03蕭,650,都,聊,teu,刁,4
下平03蕭,650,都,聊,teu,琱,5
下平03蕭,650,都,聊,teu,凋,6
下平03蕭,650,都,聊,teu,鯛,7
下平03蕭,650,都,聊,teu,䂏,8
下平03蕭,650,都,聊,teu,雕,9
下平03蕭,650,都,聊,teu,鵰,10
下平03蕭,650,都,聊,teu,蛁,11
下平03蕭,650,都,聊,teu,彫,12
下平03蕭,650,都,聊,teu,𧜣,13
下平03蕭,650,都,聊,teu,𧘨,14
下平03蕭,650,都,聊,teu,芀,15
下平03蕭,650,都,聊,teu,𦶌,16
下平03蕭,650,都,聊,teu,𦨣,17
下平03蕭,650,都,聊,teu,𩾗,18
下平03蕭,650,都,聊,teu,㚋,19
下平03蕭,650,都,聊,teu,奝,20
下平03蕭,650,都,聊,teu,弴,21
下平03蕭,650,都,聊,teu,瞗,22
下平03蕭,651,徒,聊,deu,迢,1
下平03蕭,651,徒,聊,deu,條,2
下平03蕭,651,徒,聊,deu,樤,3
下平03蕭,651,徒,聊,deu,髫,4
下平03蕭,651,徒,聊,deu,跳,5
下平03蕭,651,徒,聊,deu,鋚,6
下平03蕭,651,徒,聊,deu,𧌁,7
下平03蕭,651,徒,聊,deu,蜩,8
下平03蕭,651,徒,聊,deu,佻,9
下平03蕭,651,徒,聊,deu,趒,10
下平03蕭,651,徒,聊,deu,苕,11
下平03蕭,651,徒,聊,deu,芀,12
下平03蕭,651,徒,聊,deu,調,13
下平03蕭,651,徒,聊,deu,鮡,14
下平03蕭,651,徒,聊,deu,岧,15
下平03蕭,651,徒,聊,deu,䯾,16
下平03蕭,651,徒,聊,deu,䩦,17
下平03蕭,651,徒,聊,deu,嬥,18
下平03蕭,651,徒,聊,deu,𠤼,19
下平03蕭,651,徒,聊,deu,𣬸,20
下平03蕭,651,徒,聊,deu,𠧪,21
下平03蕭,651,徒,聊,deu,鰷,22
下平03蕭,652,古,堯,keu,驍,1
下平03蕭,652,古,堯,keu,梟,2
下平03蕭,652,古,堯,keu,𥄉,3
下平03蕭,652,古,堯,keu,澆,4
下平03蕭,652,古,堯,keu,憿,5
下平03蕭,652,古,堯,keu,釗,6
下平03蕭,652,古,堯,keu,邀,7
下平03蕭,652,古,堯,keu,蟂,8
下平03蕭,652,古,堯,keu,徼,9
下平03蕭,653,落,蕭,leu,聊,1
下平03蕭,653,落,蕭,leu,𦗖,2
下平03蕭,653,落,蕭,leu,膋,3
下平03蕭,653,落,蕭,leu,膫,4
下平03蕭,653,落,蕭,leu,飉,5
下平03蕭,653,落,蕭,leu,遼,6
下平03蕭,653,落,蕭,leu,憀,7
下平03蕭,653,落,蕭,leu,竂,8
下平03蕭,653,落,蕭,leu,寥,9
下平03蕭,653,落,蕭,leu,料,10
下平03蕭,653,落,蕭,leu,㙩,11
下平03蕭,653,落,蕭,leu,橑,12
下平03蕭,653,落,蕭,leu,撩,13
下平03蕭,653,落,蕭,leu,摷,14
下平03蕭,653,落,蕭,leu,廖,15
下平03蕭,653,落,蕭,leu,僚,16
下平03蕭,653,落,蕭,leu,寮,17
下平03蕭,653,落,蕭,leu,鐐,18
下平03蕭,653,落,蕭,leu,簝,19
下平03蕭,653,落,蕭,leu,豂,20
下平03蕭,653,落,蕭,leu,鷯,21
下平03蕭,653,落,蕭,leu,𥲊,22
下平03蕭,653,落,蕭,leu,璙,23
下平03蕭,653,落,蕭,leu,嫽,24
下平03蕭,653,落,蕭,leu,漻,25
下平03蕭,653,落,蕭,leu,蟟,26
下平03蕭,653,落,蕭,leu,瞭,27
下平03蕭,653,落,蕭,leu,䜮,28
下平03蕭,653,落,蕭,leu,𧂏,29
下平03蕭,653,落,蕭,leu,𩯊,30
下平03蕭,653,落,蕭,leu,嶚,31
下平03蕭,653,落,蕭,leu,翏,32
下平03蕭,653,落,蕭,leu,繚,33
下平03蕭,653,落,蕭,leu,憭,34
下平03蕭,653,落,蕭,leu,獠,35
下平03蕭,653,落,蕭,leu,髎,36
下平03蕭,653,落,蕭,leu,𡽐,37
下平03蕭,653,落,蕭,leu,蟧,38
下平03蕭,653,落,蕭,leu,𦿌,39
下平03蕭,653,落,蕭,leu,敹,40
下平03蕭,653,落,蕭,leu,嘹,41
下平03蕭,653,落,蕭,leu,熮,42
下平03蕭,654,五,聊,ngeu,堯,1
下平03蕭,654,五,聊,ngeu,嶢,2
下平03蕭,654,五,聊,ngeu,僥,3
下平03蕭,654,五,聊,ngeu,垚,4
下平03蕭,654,五,聊,ngeu,顤,5
下平03蕭,655,許,幺,heu,膮,1
下平03蕭,655,許,幺,heu,嘵,2
下平03蕭,655,許,幺,heu,憢,3
下平03蕭,655,許,幺,heu,㚠,4
下平03蕭,655,許,幺,heu,𦞵,5
下平03蕭,655,許,幺,heu,䎄,6
下平03蕭,655,許,幺,heu,䫞,7
下平03蕭,656,於,堯,qeu,幺,1
下平03蕭,656,於,堯,qeu,怮,2
下平03蕭,656,於,堯,qeu,葽,3
下平03蕭,656,於,堯,qeu,䱂,4
下平03蕭,656,於,堯,qeu,㫐,5
下平03蕭,657,苦,幺,kheu,鄡,1
下平03蕭,657,苦,幺,kheu,郻,2
下平03蕭,657,苦,幺,kheu,𢿣,3
下平03蕭,657,苦,幺,kheu,墽,4
下平03蕭,657,苦,幺,kheu,𡩇,5
下平04宵,658,相,邀,sieu,宵,1
下平04宵,658,相,邀,sieu,消,2
下平04宵,658,相,邀,sieu,霄,3
下平04宵,658,相,邀,sieu,捎,4
下平04宵,658,相,邀,sieu,逍,5
下平04宵,658,相,邀,sieu,痟,6
下平04宵,658,相,邀,sieu,綃,7
下平04宵,658,相,邀,sieu,銷,8
下平04宵,658,相,邀,sieu,焇,9
下平04宵,658,相,邀,sieu,硝,10
下平04宵,658,相,邀,sieu,蛸,11
下平04宵,658,相,邀,sieu,莦,12
下平04宵,658,相,邀,sieu,哨,13
下平04宵,658,相,邀,sieu,𦐺,14
下平04宵,658,相,邀,sieu,鮹,15
下平04宵,658,相,邀,sieu,𤞚,16
下平04宵,658,相,邀,sieu,䴛,17
下平04宵,658,相,邀,sieu,揱,18
下平04宵,658,相,邀,sieu,奞,19
下平04宵,658,相,邀,sieu,魈,20
下平04宵,659,敕,宵,thrieu,超,1
下平04宵,659,敕,宵,thrieu,怊,2
下平04宵,659,敕,宵,thrieu,欩,3
下平04宵,659,敕,宵,thrieu,𢁾,4
下平04宵,659,敕,宵,thrieu,𠰉,5
下平04宵,659,敕,宵,thrieu,䫿,6
下平04宵,660,陟,遙,trieu,朝,1
下平04宵,660,陟,遙,trieu,𦩻,2
下平04宵,661,直,遙,drieu,鼂,1
下平04宵,661,直,遙,drieu,晁,2
下平04宵,661,直,遙,drieu,鼂,3
下平04宵,661,直,遙,drieu,朝,4
下平04宵,661,直,遙,drieu,潮,5
下平04宵,662,許,嬌,hieu,囂,1
下平04宵,662,許,嬌,hieu,枵,2
下平04宵,662,許,嬌,hieu,歊,3
下平04宵,662,許,嬌,hieu,毊,4
下平04宵,662,許,嬌,hieu,獢,5
下平04宵,662,許,嬌,hieu,㺧,6
下平04宵,662,許,嬌,hieu,藃,7
下平04宵,662,許,嬌,hieu,呺,8
下平04宵,662,許,嬌,hieu,𩱴,9
下平04宵,662,許,嬌,hieu,䖀,10
下平04宵,663,昨,焦,zieu,樵,1
下平04宵,663,昨,焦,zieu,𦿕,2
下平04宵,663,昨,焦,zieu,劁,3
下平04宵,663,昨,焦,zieu,憔,4
下平04宵,663,昨,焦,zieu,顦,5
下平04宵,663,昨,焦,zieu,䏆,6
下平04宵,663,昨,焦,zieu,譙,7
下平04宵,663,昨,焦,zieu,嶕,8
下平04宵,663,昨,焦,zieu,𡻝,9
下平04宵,663,昨,焦,zieu,鐎,10
下平04宵,663,昨,焦,zieu,𨝱,11
下平04宵,663,昨,焦,zieu,僬,12
下平04宵,663,昨,焦,zieu,䩌,13
下平04宵,663,昨,焦,zieu,撨,14
下平04宵,663,昨,焦,zieu,菬,15
下平04宵,664,舉,喬,kieu,驕,1
下平04宵,664,舉,喬,kieu,嬌,2
下平04宵,664,舉,喬,kieu,憍,3
下平04宵,664,舉,喬,kieu,穚,4
下平04宵,664,舉,喬,kieu,鷮,5
下平04宵,664,舉,喬,kieu,蕎,6
下平04宵,664,舉,喬,kieu,喬,7
下平04宵,664,舉,喬,kieu,簥,8
下平04宵,664,舉,喬,kieu,撟,9
下平04宵,665,即,消,cieu,焦,1
下平04宵,665,即,消,cieu,𤓪,2
下平04宵,665,即,消,cieu,㲬,3
下平04宵,665,即,消,cieu,蕉,4
下平04宵,665,即,消,cieu,膲,5
下平04宵,665,即,消,cieu,鷦,6
下平04宵,665,即,消,cieu,𩾗,7
下平04宵,665,即,消,cieu,椒,8
下平04宵,665,即,消,cieu,茮,9
下平04宵,665,即,消,cieu,噍,10
下平04宵,665,即,消,cieu,鐎,11
下平04宵,665,即,消,cieu,蟭,12
下平04宵,665,即,消,cieu,䩌,13
下平04宵,665,即,消,cieu,𪚱,14
下平04宵,665,即,消,cieu,僬,15
下平04宵,665,即,消,cieu,燋,16
下平04宵,665,即,消,cieu,䌭,17
下平04宵,666,如,招,njeu,饒,1
下平04宵,666,如,招,njeu,橈,2
下平04宵,666,如,招,njeu,襓,3
下平04宵,666,如,招,njeu,㹛,4
下平04宵,666,如,招,njeu,蟯,5
下平04宵,666,如,招,njeu,蕘,6
下平04宵,667,式,招,sjeu,燒,1
下平04宵,667,式,招,sjeu,𤬖,2
下平04宵,668,餘,昭,jeu,遙,1
下平04宵,668,餘,昭,jeu,媱,2
下平04宵,668,餘,昭,jeu,傜,3
下平04宵,668,餘,昭,jeu,繇,4
下平04宵,668,餘,昭,jeu,颻,5
下平04宵,668,餘,昭,jeu,𣣳,6
下平04宵,668,餘,昭,jeu,窯,7
下平04宵,668,餘,昭,jeu,窰,8
下平04宵,668,餘,昭,jeu,䔄,9
下平04宵,668,餘,昭,jeu,𦾺,10
